user_id,item_id,story,casting,direction,images,music,rating
.B8l96iDeCvYGIKBOAjXGz4-/,322250,3,3,3,3,3,5.0
.B8l96iDeCvYGIKBOAjXGz4-/,322539,5,3,3,3,5,4.0
.B8l96iDeCvYGIKBOAjXGz4-/,241898,5,3,3,3,3,4.0
.B8l96iDeCvYGIKBOAjXGz4-/,329605,5,3,5,3,3,4.0
.B8l96iDeCvYGIKBOAjXGz4-/,85316,5,3,5,5,3,5.0
.B8l96iDeCvYGIKBOAjXGz4-/,325467,1,3,1,1,3,3.0
.B8l96iDeCvYGIKBOAjXGz4-/,83982,5,3,3,3,3,4.0
.B8l96iDeCvYGIKBOAjXGz4-/,329623,3,3,3,3,3,4.0
.B8l96iDeCvYGIKBOAjXGz4-/,320824,5,5,3,3,1,5.0
.B8l96iDeCvYGIKBOAjXGz4-/,630,3,3,3,3,3,2.0
.B8l96iDeCvYGIKBOAjXGz4-/,240796,3,3,3,3,3,3.0
.B8l96iDeCvYGIKBOAjXGz4-/,320680,5,3,3,3,3,5.0
.B8l96iDeCvYGIKBOAjXGz4-/,324028,3,3,3,3,3,4.0
.B8l96iDeCvYGIKBOAjXGz4-/,161374,5,5,5,3,3,3.0
.B8l96iDeCvYGIKBOAjXGz4-/,320853,1,3,1,3,1,1.0
.B8l96iDeCvYGIKBOAjXGz4-/,327924,1,3,1,1,3,3.0
.B8l96iDeCvYGIKBOAjXGz4-/,324246,5,5,3,3,3,4.0
.B8l96iDeCvYGIKBOAjXGz4-/,83294,1,3,5,5,3,5.0
.B8l96iDeCvYGIKBOAjXGz4-/,329345,3,3,3,3,3,4.0
.B8l96iDeCvYGIKBOAjXGz4-/,325801,3,3,3,3,3,5.0
0At_OMWXfiONFAQ-/,162811,3,3,5,5,3,5.0
0At_OMWXfiONFAQ-/,87248,3,5,3,3,3,2.0
0At_OMWXfiONFAQ-/,327994,5,3,5,3,3,5.0
0At_OMWXfiONFAQ-/,329400,3,5,3,5,3,4.0
0At_OMWXfiONFAQ-/,330569,3,5,3,3,3,3.0
0At_OMWXfiONFAQ-/,338475,3,3,3,3,3,3.0
0At_OMWXfiONFAQ-/,325624,5,1,3,3,3,3.0
0At_OMWXfiONFAQ-/,322931,5,3,5,5,3,5.0
0At_OMWXfiONFAQ-/,326052,3,3,3,3,3,5.0
0At_OMWXfiONFAQ-/,332673,1,3,1,3,3,3.0
0At_OMWXfiONFAQ-/,238828,3,3,3,3,3,3.0
0At_OMWXfiONFAQ-/,327912,3,5,3,3,3,4.0
0At_OMWXfiONFAQ-/,342451,5,5,5,3,3,5.0
0At_OMWXfiONFAQ-/,342785,3,3,3,3,3,3.0
0At_OMWXfiONFAQ-/,324256,3,5,3,3,3,4.0
0At_OMWXfiONFAQ-/,327786,3,3,3,3,1,1.0
0At_OMWXfiONFAQ-/,324946,3,5,5,3,3,1.0
0At_OMWXfiONFAQ-/,329124,5,3,3,3,3,4.0
0At_OMWXfiONFAQ-/,340849,3,5,3,3,3,3.0
0At_OMWXfiONFAQ-/,333522,5,5,5,5,3,5.0
0CzBUdiCeHrNb4xmSMt7/,344412,3,1,1,3,3,1.0
0CzBUdiCeHrNb4xmSMt7/,345880,3,1,1,1,3,1.0
0CzBUdiCeHrNb4xmSMt7/,331380,3,3,3,3,3,4.0
